"Level";"Time";"Max Gnomes Start";"Max Gnomes End";"Countdown Start";"Countdown End";"Cubby Top s Start";"Cubby Top s End";"Cubby Speed Start";"Cubby Speed End";"Waves";"Gnome 1 Max";"Time Factor Gnome 1";"Gnome Woman Max";"Time Factor Gnome Woman";"Gnome Chest Max";"Time Factor Gnome Chest";"Gnome Hide Max";"Time Factor Gnome Hide";"Gnome Shop Max";"Time Factor Gnome Shop";"Gnome Bonus Icecream Max";"Time Factor Gnome Bonus Icecream";"Gnome Bomb Max";"Time Factor Gnome Bomb";"Gnome Challenge Max";"Time Factor Gnome Challenge";"Gnome Bouncing Max";"Gnome BubbleHead Max";"Time Factor Gnome BubbleHead";"Gnome Lucky Clover Max";"Time Factor Gnome Lucky Clover";"Gnome Silver Max";"Time Factor Gnome Silver";"Gnome Bonus Duck Max";"Time Factor Gnome Bonus Duck";"Gnome Strong Max";"Time Factor Gnome Strong";"Gnome Rabbit Max";"Time Factor Gnome Rabbit";"Gnome Flying Max";"Gnome Cupido Max";"Time Factor Gnome Cupido";"Gnome Switcher Max";"Time Factor Gnome Switcher";"Gnome PowerUp Max";"Time Factor Gnome PowerUp";"Gnome Napoleon Max";"Time Factor Gnome Napoleon";"Gnome MultiplierX5 Max";"Time Factor Gnome MultiplierX5";"Gnome Forky Chap Max";"Time Factor Gnome Forky Chap";"Gnome Bonus Strawberry Max";"Time Factor Gnome Bonus Strawberry";"Gnome King Max";"Time Factor Gnome King";"Time Factor Heart 1";"Time Factor Gnome Coin 1"
1;65;4;7;1;0,8;14;4;8;8;2;10;1;3;1;1;0,5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2;75;4;7;1;0,8;14;4;8;8,5;2;6;1;4;1;1;0,5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
3;85;5;7;0,95;0,79;14;4;8;9;2;6;1;4;1;1;0,5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
4;95;5;8;0,95;0,79;13;3,75;8;9,2;2;5;1;4;1;1;0,5;3;1;-2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
5;105;5;8;0,95;0,79;13;3,75;8;9,2;2;5;1;4;1;1;0,5;3;1;0;0;0;0;1;0,25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
6;115;6;8;0,95;0,79;13;3,75;8,25;9,35;2;4;1;4;1;1;0,5;4;1;-2;1;0;0;1;0,25;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
7;125;6;8;0,9;0,78;13;3,75;8,5;9,5;2;4;1;4;1;1;0,5;4;1;0;0;-4;1,5;1;0,25;-4;0,5;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
8;130;6;9;0,9;0,78;12;3,7;8,5;9,75;2;4;1;4;1;1;0,5;4;1;-4;1;-2;1,5;1;0,25;0;0;1;2;2;0;0;1;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
9;135;6;9;0,9;0,78;12;3,6;8,75;10;2;4;1;4;1;1;0,5;4;1;0;0;-8;1,5;1;0,25;-4;0,5;1;2;2;0;0;1;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
10;140;6;10;0,85;0,77;11;3,4;8,75;10,25;2;4;1;4;1;1;0,5;4;1;-4;1;-1;1,5;1;0,25;0;0;1;2;2;0;0;1;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
