"Level";"Time";"Max Gnomes Start";"Max Gnomes End";"Countdown Start";"Countdown End";"Cubby Top s Start";"Cubby Top s End";"Cubby Speed Start";"Cubby Speed End";"Waves";"Gnome 1 Max";"Time Factor Gnome 1";"Gnome Woman Max";"Time Factor Gnome Woman";"Gnome Chest Max";"Time Factor Gnome Chest";"Gnome Hide Max";"Time Factor Gnome Hide";"Gnome Shop Max";"Time Factor Gnome Shop";"Gnome Bonus Icecream Max";"Time Factor Gnome Bonus Icecream";"Gnome Bomb Max";"Time Factor Gnome Bomb";"Gnome Challenge Max";"Time Factor Gnome Challenge";"Gnome Bouncing Max";"Gnome BubbleHead Max";"Time Factor Gnome BubbleHead";"Gnome Lucky Clover Max";"Time Factor Gnome Lucky Clover";"Gnome Silver Max";"Time Factor Gnome Silver";"Gnome Bonus Duck Max";"Time Factor Gnome Bonus Duck";"Gnome Strong Max";"Time Factor Gnome Strong";"Gnome Rabbit Max";"Time Factor Gnome Rabbit";"Gnome Flying Max";"Gnome Cupido Max";"Time Factor Gnome Cupido";"Gnome Switcher Max";"Time Factor Gnome Switcher";"Gnome PowerUp Max";"Time Factor Gnome PowerUp";"Gnome Napoleon Max";"Time Factor Gnome Napoleon";"Gnome MultiplierX5 Max";"Time Factor Gnome MultiplierX5";"Gnome Forky Chap Max";"Time Factor Gnome Forky Chap";"Gnome Bonus Strawberry Max";"Time Factor Gnome Bonus Strawberry";"Gnome King Max";"Time Factor Gnome King";"Time Factor Heart 1";"Time Factor Gnome Coin 1"
1;30;4;6;1,5;1;15;5;8;10;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2;40;5;6;1,5;1;15;5;8;10;1;6;1;4;1;1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
3;50;5;7;1,45;0,99;15;5;8;10;1;6;1;4;1;1;0,5;0;0;-16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
4;60;5;7;1,45;0,98;14;4,75;8;10;1;5;1;4;1;1;0,5;3;1;-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
5;70;5;8;1,45;0,98;14;4,75;8;10;1;5;1;4;1;2;0,5;3;1;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
6;80;5;8;1,45;0,97;14;4,75;8;10;1;4;1;4;1;2;0,5;4;1;-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
7;90;5;8;1,4;0,96;14;4,75;8;10;1;4;1;4;1;2;0,5;4;1;-8;1;-4;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
8;100;6;8;1,4;0,95;13;4,5;8,25;10;1;4;1;4;1;2;0,5;4;1;-4;1;-2;1,5;1;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
9;110;6;8;1,4;0,94;13;4,25;8,25;10;1;4;1;4;1;2;0,5;4;1;-8;1;-8;1,5;1;0,25;-4;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
10;120;6;9;1,35;0,93;12;4;8,25;9,5;1;4;1;4;1;2;0,5;4;1;-4;1;-1;1,5;1;0,25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
