Playlist: Pixelus In-Game v03 Regions full.wav

Name                                  In           Out      Duration     Count
-------------------------- ------------- ------------- ------------- ---------
01                          00:00:00.000  00:00:01.951  00:00:01.951         1
02                          00:00:01.951  00:00:03.902  00:00:01.951         1
03                          00:00:03.902  00:00:05.853  00:00:01.951         1
04                          00:00:05.853  00:00:07.804  00:00:01.951         1
05                          00:00:07.804  00:00:09.756  00:00:01.951         1
06                          00:00:09.756  00:00:11.707  00:00:01.951         1
03                          00:00:11.707  00:00:13.658  00:00:01.951         1
04                          00:00:13.658  00:00:15.609  00:00:01.951         1
09                          00:00:15.609  00:00:17.560  00:00:01.951         1
10                          00:00:17.560  00:00:19.512  00:00:01.951         1
11                          00:00:19.512  00:00:21.463  00:00:01.951         1
12                          00:00:21.463  00:00:23.414  00:00:01.951         1
13                          00:00:23.414  00:00:25.365  00:00:01.951         1
14                          00:00:25.365  00:00:27.316  00:00:01.951         1
15                          00:00:27.316  00:00:29.268  00:00:01.951         1
12                          00:00:29.268  00:00:31.219  00:00:01.951         1
17                          00:00:31.219  00:00:33.170  00:00:01.951         1
18                          00:00:33.170  00:00:35.121  00:00:01.951         1
19                          00:00:35.121  00:00:37.072  00:00:01.951         1
20                          00:00:37.072  00:00:39.024  00:00:01.951         1
21                          00:00:39.024  00:00:40.975  00:00:01.951         1
22                          00:00:40.975  00:00:42.926  00:00:01.951         1
23                          00:00:42.926  00:00:44.877  00:00:01.951         1
24                          00:00:44.877  00:00:46.828  00:00:01.951         1
25                          00:00:46.828  00:00:48.780  00:00:01.951         1
26                          00:00:48.780  00:00:50.731  00:00:01.951         1
27                          00:00:50.731  00:00:52.682  00:00:01.951         1
28                          00:00:52.682  00:00:54.633  00:00:01.951         1
29                          00:00:54.633  00:00:56.584  00:00:01.951         1
30                          00:00:56.584  00:00:58.536  00:00:01.951         1
31                          00:00:58.536  00:01:00.487  00:00:01.951         1
28                          00:01:00.487  00:01:02.438  00:00:01.951         1
29                          00:01:02.438  00:01:04.389  00:00:01.951         1
34                          00:01:04.389  00:01:06.340  00:00:01.951         1
35                          00:01:06.340  00:01:08.292  00:00:01.951         1
03                          00:01:08.292  00:01:10.243  00:00:01.951         1
04                          00:01:10.243  00:01:12.194  00:00:01.951         1
05                          00:01:12.194  00:01:14.145  00:00:01.951         1
06                          00:01:14.145  00:01:16.096  00:00:01.951         1
03                          00:01:16.096  00:01:18.048  00:00:01.951         1
04                          00:01:18.048  00:01:19.999  00:00:01.951         1
09                          00:01:19.999  00:01:21.950  00:00:01.951         1
43                          00:01:21.950  00:01:23.901  00:00:01.951         1
44                          00:01:23.901  00:01:25.852  00:00:01.951         1
45                          00:01:25.852  00:01:27.804  00:00:01.951         1
46                          00:01:27.804  00:01:29.755  00:00:01.951         1
47                          00:01:29.755  00:01:31.706  00:00:01.951         1
48                          00:01:31.706  00:01:33.657  00:00:01.951         1
49                          00:01:33.657  00:01:35.608  00:00:01.951         1
50                          00:01:35.608  00:01:37.560  00:00:01.951         1
51                          00:01:37.560  00:01:39.511  00:00:01.951         1
52                          00:01:39.511  00:01:41.462  00:00:01.951         1
02                          00:01:41.462  00:01:43.413  00:00:01.951         1
02                          00:01:43.413  00:01:45.364  00:00:01.951         1
02                          00:01:45.364  00:01:47.316  00:00:01.951         1
02                          00:01:47.316  00:01:49.267  00:00:01.951         1
03                          00:01:49.267  00:01:51.218  00:00:01.951         1
04                          00:01:51.218  00:01:53.169  00:00:01.951         1
05                          00:01:53.169  00:01:55.120  00:00:01.951         1
06                          00:01:55.120  00:01:57.072  00:00:01.951         1
03                          00:01:57.072  00:01:59.023  00:00:01.951         1
04                          00:01:59.023  00:02:00.974  00:00:01.951         1
09                          00:02:00.974  00:02:02.925  00:00:01.951         1
10                          00:02:02.925  00:02:04.876  00:00:01.951         1
11                          00:02:04.876  00:02:06.828  00:00:01.951         1
12                          00:02:06.828  00:02:08.779  00:00:01.951         1
13                          00:02:08.779  00:02:10.730  00:00:01.951         1
14                          00:02:10.730  00:02:12.681  00:00:01.951         1
15                          00:02:12.681  00:02:14.632  00:00:01.951         1
12                          00:02:14.632  00:02:16.584  00:00:01.951         1
17                          00:02:16.584  00:02:18.535  00:00:01.951         1
18                          00:02:18.535  00:02:20.486  00:00:01.951         1
19                          00:02:20.486  00:02:22.437  00:00:01.951         1
20                          00:02:22.437  00:02:24.388  00:00:01.951         1
21                          00:02:24.388  00:02:26.340  00:00:01.951         1
22                          00:02:26.340  00:02:28.291  00:00:01.951         1
23                          00:02:28.291  00:02:30.242  00:00:01.951         1
24                          00:02:30.242  00:02:32.193  00:00:01.951         1
25                          00:02:32.193  00:02:34.144  00:00:01.951         1
26                          00:02:34.144  00:02:36.096  00:00:01.951         1
27                          00:02:36.096  00:02:38.047  00:00:01.951         1
28                          00:02:38.047  00:02:39.998  00:00:01.951         1
29                          00:02:39.998  00:02:41.949  00:00:01.951         1
28                          00:02:41.949  00:02:43.900  00:00:01.951         1
29                          00:02:43.900  00:02:45.852  00:00:01.951         1
28                          00:02:45.852  00:02:47.803  00:00:01.951         1
29                          00:02:47.803  00:02:49.754  00:00:01.951         1
34                          00:02:49.754  00:02:51.705  00:00:01.951         1
35                          00:02:51.705  00:02:53.656  00:00:01.951         1
15                          00:02:53.656  00:02:55.608  00:00:01.951         1
12                          00:02:55.608  00:02:57.559  00:00:01.951         1
15                          00:02:57.559  00:02:59.510  00:00:01.951         1
12                          00:02:59.510  00:03:01.461  00:00:01.951         1
15                          00:03:01.461  00:03:03.412  00:00:01.951         1
12                          00:03:03.412  00:03:05.364  00:00:01.951         1
17                          00:03:05.364  00:03:07.315  00:00:01.951         1
18                          00:03:07.315  00:03:09.266  00:00:01.951         1
44                          00:03:09.266  00:03:11.217  00:00:01.951         1
45                          00:03:11.217  00:03:13.168  00:00:01.951         1
46                          00:03:13.168  00:03:15.120  00:00:01.951         1
47                          00:03:15.120  00:03:17.071  00:00:01.951         1
48                          00:03:17.071  00:03:19.022  00:00:01.951         1
49                          00:03:19.022  00:03:20.973  00:00:01.951         1
50                          00:03:20.973  00:03:22.924  00:00:01.951         1
51                          00:03:22.924  00:03:24.876  00:00:01.951         1
52                          00:03:24.876  00:03:26.827  00:00:01.951         1
01                          00:03:26.827  00:03:28.778  00:00:01.951         1
01                          00:03:28.778  00:03:30.729  00:00:01.951         1
01                          00:03:30.729  00:03:32.680  00:00:01.951         1
01                          00:03:32.680  00:03:34.632  00:00:01.951         1
02                          00:03:34.632  00:03:36.583  00:00:01.951         1
02                          00:03:36.583  00:03:38.534  00:00:01.951         1
02                          00:03:38.534  00:03:40.485  00:00:01.951         1
02                          00:03:40.485  00:03:42.437  00:00:01.951         1
