Playlist: Tubetricks In-Game One v02.wav

Name                                  In           Out      Duration     Count
-------------------------- ------------- ------------- ------------- ---------
A                           00:00:00.000  00:00:02.908  00:00:02.908         1
B                           00:00:02.908  00:00:08.017  00:00:05.108         1
B                           00:00:08.017  00:00:13.126  00:00:05.108         1
C                           00:00:13.126  00:00:17.484  00:00:04.357         1
D                           00:00:17.484  00:00:18.580  00:00:01.096         1
C                           00:00:18.580  00:00:22.938  00:00:04.357         1
E                           00:00:22.938  00:00:24.036  00:00:01.098         1
B                           00:00:24.036  00:00:29.145  00:00:05.108         1
B                           00:00:29.145  00:00:34.254  00:00:05.108         1
C                           00:00:34.254  00:00:38.612  00:00:04.357         1
D                           00:00:38.612  00:00:39.708  00:00:01.096         1
C                           00:00:39.708  00:00:44.066  00:00:04.357         1
F                           00:00:44.066  00:00:47.000  00:00:02.933         1
B                           00:00:47.000  00:00:52.109  00:00:05.108         1
B                           00:00:52.109  00:00:57.218  00:00:05.108         1
C                           00:00:57.218  00:01:01.575  00:00:04.357         1
D                           00:01:01.575  00:01:02.671  00:00:01.096         1
C                           00:01:02.671  00:01:07.029  00:00:04.357         1
E                           00:01:07.029  00:01:08.128  00:00:01.098         1
B                           00:01:08.128  00:01:13.237  00:00:05.108         1
B                           00:01:13.237  00:01:18.346  00:00:05.108         1
C                           00:01:18.346  00:01:22.703  00:00:04.357         1
D                           00:01:22.703  00:01:23.800  00:00:01.096         1
C                           00:01:23.800  00:01:28.157  00:00:04.357         1
F                           00:01:28.157  00:01:31.091  00:00:02.933         1
F                           00:01:31.091  00:01:34.024  00:00:02.933         1
H                           00:01:34.024  00:01:39.115  00:00:05.090         1
H                           00:01:39.115  00:01:44.205  00:00:05.090         1
I                           00:01:44.205  00:01:49.297  00:00:05.092         1
I                           00:01:49.297  00:01:54.390  00:00:05.092         1
D                           00:01:54.390  00:01:55.486  00:00:01.096         1
E                           00:01:55.486  00:01:56.585  00:00:01.098         1
D                           00:01:56.585  00:01:57.681  00:00:01.096         1
E                           00:01:57.681  00:01:58.780  00:00:01.098         1
